test category 0, test data 0, 0, test place 0, test memo 0
test category 0, test data 1, 1, test place 1, test memo 1
test category 0, test data 2, 2, test place 2, test memo 2
test category 0, test data 3, 3, test place 3, test memo 3
test category 0, test data 4, 4, test place 4, test memo 4
test category 1, test data 5, 1, test place 5, test memo 5
test category 1, test data 6, 1, test place 6, test memo 6
test category 1, test data 7, 1, test place 7, test memo 7
test category 1, test data 8, 1, test place 8, test memo 8
test category 1, test data 9, 1, test place 9, test memo 9
test category 2, test data 10, 1, test place 10, test memo 10
test category 2, test data 11, 2, test place 11, test memo 11
test category 2, test data 12, 3, test place 12, test memo 12
